Utterance,Speaker,Dialogue_ID,Emotion,Video_Path,Start_Time,End_Time,Duration
"Okay, what",0,100-29-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_1.mp4,0.34,0.76,0.42
what does Y -E -S spell? Yes. What,0,100-29-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_2.mp4,0.98,3.08,2.1
What does E -Y -E -S spell? Yes.,0,100-29-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_3.mp4,3.46,5.04,1.58
Yes.,0,100-29-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_4.mp4,5.16,5.5,0.3399999999999998
does E -Y -E -S spell?,0,100-29-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_5.mp4,8.36,10.52,2.16
E -S.,0,100-29-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_6.mp4,10.72,11.32,0.5999999999999996
What is happening?,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_7.mp4,15.36,16.42,1.0600000000000025
What does Y -E -S spell? Yes. What does E -Y -E -S spell?,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_8.mp4,18.54,22.68,4.140000000000001
E -S.,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_9.mp4,23.82,24.58,0.759999999999998
What are you crying for? What does...,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_10.mp4,27.12,30.2,3.0799999999999983
"What are you doing? Okay, try again. What does Y -E -S spell?",0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_11.mp4,31.5,36.14,4.640000000000001
Yes. What does E -Y -E -S spell?,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_12.mp4,37.38,40.52,3.140000000000001
spell?,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_13.mp4,40.7,41.08,0.3799999999999954
Ease.,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_14.mp4,43.56,44.18,0.6199999999999974
A -S.,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_15.mp4,46.64,47.18,0.5399999999999991
You're making me... I can't breathe.,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_16.mp4,49.3,50.88,1.5800000000000054
Okay. E -Y -E -S. E,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_17.mp4,51.44,53.98,2.539999999999999
E -S.,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_18.mp4,54.42,56.6,2.18
Say it again. What does E -Y -E -S spell?,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_19.mp4,58.24,62.26,4.019999999999996
-Y -E -S. What?,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_20.mp4,66.74,68.64,1.9000000000000057
making me cry. What?,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_21.mp4,73.54,74.92,1.3799999999999957
E -Y -E -S.,0,100-29-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_22.mp4,76.94,78.68,1.740000000000009
-Y -E,0,100-29-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_23.mp4,80.88,81.68,0.8000000000000114
-E -E -S. E -Y -E -E -S.,0,100-29-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_24.mp4,82.08,82.5,0.4200000000000017
Eyes. Eyes.,0,100-29-1080x1920.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_25.mp4,84.9,85.58,0.6799999999999926
Eyes. Eyes.,0,100-29-1080x1920.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/100-29-1080x1920_utterance_26.mp4,86.14,88.04,1.9000000000000057
"Norman and I, Norman Reedus, who plays Daryl Dixon. Uh",0,10-60-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_27.mp4,0.12,2.6,2.48
"a couple days ago. Yeah, he was here, I think, Monday. We're idiots together. You",0,10-60-1280x720.mp4,neutral,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_28.mp4,4.42,9.08,4.66
"You guys, despite the fact that you are beyond mortal enemies on the show, you're pretty close in real life. We're very close in real life. I spend probably more time with him than I do my family. Right. Night shoots. Night shoots.",0,10-60-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_29.mp4,9.34,21.92,12.580000000000002
"Night shoots, and we lived next to each other in Georgia, and then we lived next to each other in New York. New York. He's like my brother. Is he stalking you?",0,10-60-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_30.mp4,22.68,33.14,10.46
"It's funny, because I was telling the producer, I'm like, he's a little bit of a creeper, you know?",0,10-60-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_31.mp4,33.38,39.22,5.839999999999996
"But one day we were in San Francisco. We had been touring all over the world, and we were in San Francisco, and we were at Haight -Ashbury, and we were just bored, and it was like, what do you want to do? We'll get a cup of coffee and a tattoo.",0,10-60-1280x720.mp4,joy,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_32.mp4,39.9,51.22,11.32
"And this is how tired I was, as usual. I'm like, oh, Negan wears the glove on his left hand.",0,10-60-1280x720.mp4,surprise,/home/s2751435/Work/msc/TelME/dataset/AffWild2/utterance_clips_train/10-60-1280x720_utterance_33.mp4,52.16,57.5,5.340000000000003
